"Gene","Dlk1","Esr1","Nfib","Foxp2","Fezf1","Lepr"
"Mir124-2hg",0.52,0.22,0,0.01,0,0.09
"Slc8a1",0.15,0,0.05,0.1,0.18,0
"Eps8",0.11,0,0,0,0,0.28
"Fbxl6",0,0,0,0,0,0.25
"Adcy8",0.84,0,0.1,0,0.41,0
"Vav2",0,0.32,0.44,0,0,0
"Senp5",0,0,0,0,0,0
"Slx4ip",0,0,0,0,0,0.07
"Aifm3",0,0,0,0,0,0.17
"Zfp804a",0.62,0.06,0.43,0,0.58,0
"Lpar3",0,0,0,0.92,0,0
"Slc35f6",0,0,0.25,0.18,0,0
"Syt14",0,0,0,0,0,0
"Jhy",0.27,0.17,0,0.49,0,0
"Kcnip1",0,0,0.15,0.36,0,0.21
"Nox4",0,0,0,0.61,0.42,0
"Scg2",0.08,0.14,0.14,0,0.1,0
"Araf",0.17,0,0.06,0,0,0
"Paip2",0.1,0,0,0.11,0,0
"Fnbp1",0.17,0,0,0,0,0
"Tuba1b",0,0,0.08,0,0,0
"6030443J06Rik",0,0,0,0.3,0,0.07
"Lnx1",0,0,0.13,0,0.05,0.34
"Wwp1",0,0,0,0,0,0.12
"Galnt1",0,0,0,0.21,0,0
"Pnpla3",0.08,0.18,0,0,0,0
"Zfp618",0,0,0,0.07,0,0.1
"Ccnd2",0.14,0.35,0.18,0,0.56,0
"Ubb",0,0,0.24,0,0.13,0
"Moxd1",0,0.65,0.07,0,0,0
"Nrg3os",0,0,0,0.18,0,0.38
"Slc12a9",0,0.03,0,0,0,0.2
"Wipf3",0,0,0,0.34,0,0.02
"Gclc",0,0,0,0.15,0,0.09
"Nuak1",0,0.26,0,0.12,0,0
"Timp3",0,0,0.11,0,0,0
"Nkx2-2os",0.11,0.11,0,0,0,0.59
"Mhrt",0,0.26,0.05,0,0,0.2
"Fmnl2",0,0,0.15,0.02,0.07,0
"Camkk2",0,0,0.12,0,0.12,0.28
"Gpr88",0.58,0.04,0,0,0.37,0
"Fam107a",0.42,0.02,0,0,0.05,0.01
"Syt6",0,0.6,0,0,0,0.26
"Sh3bp5",0,0,0.09,0,0,0.01
"Snx25",0,0,0,0.13,0,0.07
"Rgs6",0,0,0.51,0.71,0,0
"Nr1h4",0,0,0.96,0,0,0
"Gpr162",0,0,0.01,0,0,0.04
"Sorbs2os",0,0,0,0,0.02,0.13
"A830011K09Rik",0,0,0,0.66,0,0.05
"Cfap46",0,0,0.12,0,0,0.07
"Arpp21",0,0,0,0,0.36,0.03
"B630019K06Rik",0,0,0,0,0,0.29
"Igsf3",0.43,0.29,0,0.09,0,0
"Htr2a",0,0,0.16,0.33,0,0
"Esyt3",0,0.01,0,0,0,0.62
"Nipal2",0,0,0,0,0,0.02
"Cyp19a1",0.6,0.64,0,0,0,0
"Phldb1",0,0.17,0,0,0,0.24
"Cidea",0,0,0.39,0.33,0,0
"Whamm",0.18,0,0,0,0,0
"Dsel",0.09,0,0,0.38,0,0
"Arhgef2",0,0,0,0,0,0.31
"Stard5",0,0,0.41,0.32,0,0
"Gng2",0.08,0,0,0.1,0,0
"Robo2",0.18,0,0.11,0.39,0.29,0
"Tbl1xr1",0,0,0,0.49,0,0
"Fignl2",0.78,0,0,0.12,0,0
"Tmem164",0.11,0,0.26,0.21,0,0
"Slc8a2",0,0,0,0,0,0.07
"Kcnip3",0,0,0.89,0,0,0
"Esm1",0.56,0.33,0,0,0,0
"Hs3st2",0,0,0,0,0,0.66
"B3glct",0,0,0.08,0.18,0,0.32
"Ppfibp1",0,0,0,0.43,0.22,0
"Sgsm1",0.13,0,0,0,0,0
"E230001N04Rik",0,0,0,0.23,0,0.23
"Itm2a",0,0.78,0,0,0,0
"E130307A14Rik",0.06,0,0,0.06,0,0
"Izumo4",0.35,0,0,0,0,0
"Syt1",0.24,0.16,0.23,0,0.25,0.2
"Sema5a",0,0,0.35,0,0,0.18
"Ltbp1",0,0,0.11,0,0,0.58
"Arhgef25",0.1,0,0,0,0,0.02
"Rps6ka6",0.97,0,0,0,0,0
"Adgrb2",0,0,0,0.11,0,0.04
"Syt13",0,0,0,0,0.06,0.23
"Trbc2",0.34,0.57,0,0,0.36,0
"Dysf",0,0,0,0.63,0,0.24
"Tcf20",0.1,0.1,0,0.06,0,0
"Trib2",0.41,0.2,0,0,0,0
"A830031A19Rik",0,0.35,0,0.41,0,0.27
"Vgll2",0.51,0,0.17,0,0.38,0.04
"Nr2f1",0,0.41,0,0,0,0.46
"Cdon",0,0,0,0.19,0,0.32
"Prr16",0,0,0.22,0,0,0.65
"Itpr2",0,0,0,0,0,0.32
"Gkap1",0,0,0,0,0,0.11
"Cdk17",0,0.2,0,0.29,0,0
"Snx32",0,0,0,0,0,0.03
"Grid2",0.23,0.14,0.24,0.23,0.2,0.24
"Trim36",0,0.87,0,0,0,0
"Elavl2",0.43,0.26,0.03,0,0,0
"Skap2",0.03,0,0,0,0,0.51
"Slc38a1",0,0,0.02,0,0,0
"Ifi35",0,0.58,0,0.22,0,0
"Rapgef2",0,0,0,0,0,0
"Limk1",0.2,0.1,0,0,0,0
"Sntb1",0,0,0,0,0.49,0
"Ptpn13",0,0.79,0,0,0,0
"Lamp2",0,0,0,0,0,0.17
"Isl1",0,0.32,0,0.05,0,0
"Grik2",0.24,0.21,0.17,0,0.24,0.12
"Ubash3b",0,0.41,0,0,0,0
"Maf",0,0,0,0,0.91,0.08
"Ptk2b",0,0.04,0,0.23,0,0.39
"Kcnj2",0.42,0.32,0,0.02,0.16,0
"Adssl1",0.45,0.03,0.07,0,0,0
"Mcf2l",0.13,0,0,0,0,0
"Ablim3",0.05,0.01,0,0,0,0
"BC030867",0,0.36,0,0,0.69,0
"Zfp810",0,0.18,0,0,0,0.07
"4930426D05Rik",0,0.83,0.31,0,0,0
"Trmt2b",0,0,0,0,0.48,0.04
"Evi5",0,0,0.06,0,0,0
"Gdpd5",0,0,0,0,0,0.5
"2900076A07Rik",0,0,0,0,0,0.08
"Rgs8",0.17,0.18,0.02,0,0,0
"Pde4d",0.14,0,0.44,0.22,0.08,0
"Efnb2",0,0.42,0,0,0,0
"Btbd9",0,0,0,0,0,0
"Cpne6",0,0.16,0,0,0,0
"D430036J16Rik",0,0,0.18,0.2,0,0
"Amz1",0,0.28,0,0,0,0.36
"As3mt",0.53,0,0,0.22,0,0
"Rhpn1",0,0,0,0.82,0,0
"Ampd3",0.04,0,0.21,0,0,0
"Adgra1",0,0,0,0,0,0.2
"Drc1",0,0,0,0,0,0.2
"Herc3",0.3,0,0,0,0,0
"E130114P18Rik",0,0,0.99,0,0,0
"Mat2a",0.06,0,0,0.04,0,0
"Nkx2-1",0.14,0.65,0,0,0.15,0
"Cpa6",0.65,0.15,0,0,0,0
"Fam102b",0.01,0,0.2,0,0.4,0
"Mink1",0,0,0,0,0,0
"Bbx",0.49,0.02,0,0,0,0
"Khdrbs3",0.24,0.07,0,0,0,0
"Kcnh3",0,0.25,0,0.61,0,0
"9330179D12Rik",0.13,0.21,0.25,0,0.5,0
"Tmem196",0,0,0.14,0.39,0,0.05
"Adprh",0,0,0.21,0,0,0
"Slc25a23",0,0,0,0,0,0.01
"Mtss1",0.19,0,0,0.01,0,0
"Nectin3",0,0,0,0,0,0.59
"Angpt1",0,0.19,0.77,0,0,0
"Stxbp2",0,0,0,0.55,0,0.36
"Tshz3",0.11,0,0.23,0,0,0
"Grm3",0.39,0,0,0.31,0,0.15
"Irak3",0,0,0.03,0.81,0,0
"Kirrel3",0,0.02,0.51,0,0.62,0
"Frmd4b",0,0,0,0,0.03,0
"Ttn",0.24,0.42,0,0,0,0
"Pitpnm2",0,0,0,0.23,0,0
"Prkg2",0.15,0.45,0,0,0.45,0
"Nhs",0,0.14,0,0.41,0,0
"Deup1",0,0,0,0,0.12,0.33
"4933424G06Rik",0.09,0.12,0,0,0,0.28
"Rnasel",0.33,0.26,0.29,0,0,0
"Il1rapl1",0.24,0,0.23,0.04,0.22,0.24
"Bcor",0,0,0.09,0.19,0,0
"Pde1c",0,0.89,0,0,0.38,0
"Cacng4",0.32,0.24,0,0,0,0
"Ddrgk1",0.09,0,0,0,0,0
"Aff2",0,0.42,0,0,0,0
"Sh3d19",0,0.04,0,0,0,0
"March3",0,0,0.58,0.19,0,0
"Gpr149",0,0,0,0.04,0,0.56
"Cfap36",0.18,0,0,0,0,0
"Gfra2",0,0.23,0,0,0,0.37
"Gpc5",0.02,0.58,0,0.52,0,0
"Gpr39",0.49,0,0,0,0,0.2
"Cacnb4",0,0,0,0.21,0,0
"Rwdd3",0,0,0,0,0,0.32
"Gdf6",0,0.83,0,0,0,0
"Opcml",0,0,0.29,0.27,0,0.6
"Fcho2",0,0,0,0,0,0.14
"Mir670hg",0,0.44,0,0,0,0
"Nsun7",0,0,0,0,0,0.12
"Pbxip1",0,0,0,0,0,0.47
"Cfap44",0,0,0,0.12,0,0.45
"Ubap1l",0.53,0,0,0,0,0
"Pth2r",0.65,0.63,0,0,0.04,0
"Syt5",0,0,0,0,0,0.03
"Npy2r",0,0.81,0,0.19,0,0
"Sgcd",0.14,0.11,0.62,0,0.14,0
"Prrc2c",0.12,0,0,0.08,0,0
"Hs3st5",0,0,0,0.72,0.07,0
"Ncald",0.45,0.38,0,0,0.12,0
"Mllt10",0.1,0.05,0,0.07,0,0
"Zbtb20",0,0,0.28,0.23,0.52,0
"Tes",0.36,0,0,0,0,0.12
"Sept4",0,0,0,0,0,0.25
"Itpka",0,0.16,0,0.53,0,0.04
"Arid1b",0,0,0,0.12,0,0
"Nwd2",0.9,0,0,0,0,0
"Ska2",0,0,0.14,0.34,0,0
"Elmod1",0,0,0,0,0,0
"Pcsk2",0,0.21,0.23,0,0.13,0
"Tcp11",0,0.31,0,0.53,0,0
"Fjx1",0,0,0.47,0,0.3,0
"Smarca2",0,0,0,0,0,0
"Ocrl",0,0,0,0.27,0,0
"Tgfbr1",0,0,0,0,0,0.3
"Scn9a",0.15,0,0,0.31,0,0.03
"Pmch",0,0,0.05,0,0,0
"Map4",0,0,0,0,0,0
"Grb10",0,0.01,0,0,0,0.01
"Ank1",0.34,0,0,0,0,0
"Morn1",0,0,0,0,0,0.07
"Plekha1",0.15,0,0,0,0,0
"Morn2",0,0,0,0,0,0
"Pcdh19",0,0,0.59,0,0,0
"Pdcd7",0.5,0,0,0,0,0
"Prex2",0.48,0.09,0,0,0,0
"C230034O21Rik",0,0.36,0.35,0,0.27,0
"Csmd2",0.12,0,0,0,0.12,0
"Pde4b",0.2,0.14,0,0,0.2,0
"Cdc14a",0.02,0,0,0.75,0,0
"Muc3a",0,0,0,0.49,0,0
"Kl",0,0.14,0,0.85,0,0
"Rabgap1l",0,0.16,0,0.05,0,0
"Egfr",0,0.61,0,0,0,0
"Nts",0.01,0.16,0,0,0.15,0
"B4galt6",0.16,0,0,0,0,0
"Rfc3",0,0,0,0.32,0,0
"Zbtb46",0.21,0,0,0,0,0.09
"Klhl13",0,0.33,0,0,0,0
"Wscd2",0,0.05,0,0,0,0
"Myo1h",0.43,0.42,0,0,0,0.27
"Tmem158",0,0,0,0,0.17,0
"Kif5a",0.14,0.01,0,0,0,0
"Pld5",0,0,0,0,0.83,0.26
"Gria3",0,0.1,0.16,0,0.46,0
"2010300F17Rik",0.73,0,0,0,0.19,0
"Gpr139",0,0.18,0,0,0,0.67
"Ccdc88c",0,0,0.64,0.22,0,0
"Gramd1b",0,0.02,0,0,0,0
"Cacna1e",0,0,0.03,0.08,0,0.1
"Grm4",0,0,0.3,0,0,0
"Etl4",0.87,0.44,0,0,0,0
"Clstn1",0,0,0.19,0,0,0
"Grik1",0.41,0.57,0,0.14,0,0
"Manba",0.24,0,0,0,0,0.14
"Pwwp2a",0.01,0,0,0,0,0.14
"4933432K03Rik",0,0.05,0,0,0.13,0.66
"Srrm4os",0,0.42,0,0,0,0
"Slamf8",0.11,0,0,0.86,0,0
"Sned1",0,0,0,0,0,0.6
"Sept9",0,0.13,0.64,0,0,0
"Sycp2",0.03,0.13,0,0,0,0
"Nexmif",0,0.14,0,0,0,0
"A930009A15Rik",0,0,0.75,0,0,0.13
"9630028H03Rik",0,0,0,0.72,0,0.12
"Nfatc2",0.04,0,0,0,0,0.12
"Vwc2l",0.72,0.62,0,0,0,0
"Grin3a",0.61,0.43,0,0,0,0
"Lactb2",0,0,0,0.31,0,0.23
"Hectd2",0,0.09,0.18,0.23,0,0
"Zfp462",0.38,0,0,0.28,0.08,0
"Slco3a1",0,0.01,0,0,0,0
"Car10",0,0,0.26,0.12,0.19,0.19
"Gda",0,0,0,0.62,0,0.01
"Fbxl20",0,0,0,0,0,0
"Chd7",0,0,0.73,0,0,0.37
"Cfap74",0,0.09,0,0,0,0.07
"Prss30",0,0,0,0.67,0,0.42
"Pou6f2",0,0.45,0.25,0.2,0,0
"C1qc",0,0,0.53,0,0,0
"Atl1",0,0,0,0,0,0
"Dgki",0.15,0.07,0,0,0,0
"Serinc5",0,0.31,0,0,0,0
"Trps1",0,0,0,0.53,0,0
"Srpx2",0.2,0.07,0.69,0,0,0
"Crhr1",0.41,0.42,0,0,0,0
"Satb2",0,0.69,0,0,0,0.49
"Fign",0.12,0.58,0,0,0,0.38
"Cfap65",0,0.1,0,0,0,0.62
"Reln",0,0,0.96,0,0,0
"Polr3g",0,0,0,0.2,0,0.35
"Mrap2",0.04,0,0,0,0.14,0
"Cdh12",0.82,0,0,0.52,0,0
"Syndig1",0.67,0.6,0,0,0,0
"Wdfy3",0.14,0.02,0,0,0,0
"Xkr6",0.15,0,0,0.07,0,0
"Phkb",0,0.05,0,0,0,0
"Epb41l4a",0.35,0.31,0,0,0,0
"Zfp804b",0,0,0.78,0.6,0,0
"Hsd17b14",0,0.82,0,0,0,0
"Pi16",0,0,0,0,0.26,0.38
"Cfap206",0,0.23,0,0.05,0,0.36
"Lamb1",0,0.08,0,0.84,0,0
"Cep112",0,0,0,0,0,0.19
