"Gene","Bead","Sup","Enrichment","P"
"Chst8",44.4,12.28,1.85," 6.9e-32"
"Cbln1",304.35,83.98,1.85," 1.2e-63"
"Gm31408",0.9,0.25,1.85," 3.7e-02"
"Disp3",107.98,29.66,1.85," 9.9e-44"
"H2-Q10",0.94,0.26,1.84," 3.3e-02"
"Gm9989",0.97,0.28,1.83," 4.7e-02"
"Sox3",7.83,2.24,1.83," 1.1e-09"
"Esyt3",51.61,14.52,1.83," 7.5e-42"
"Rerg",111.25,31.55,1.82," 1.3e-55"
"H2-Q4",1.34,0.36,1.81," 1.5e-02"
"Nlrp6",1.06,0.31,1.8," 2.9e-02"
"Ccdc88b",6.17,1.75,1.8," 3.8e-08"
"Nms",1.75,0.55,1.8," 7.8e-03"
"Aldh3b2",17.29,5.05,1.78," 2.4e-18"
"Icam5",38.9,11.36,1.78," 2.8e-28"
"Rpusd1",110.11,32.34,1.78," 1.2e-36"
"Cmbl",47.3,13.96,1.76," 1.0e-35"
"Lmo3",292.54,86.44,1.76," 1.5e-68"
"Cited1",38.43,11.39,1.76," 5.6e-32"
"Lrrn4",9.28,2.75,1.76," 2.9e-11"
"Nkx2-1",82.61,24.74,1.76," 8.2e-33"
"Zfp831",63.56,18.87,1.75," 6.8e-41"
"Barx2",8.97,2.72,1.74," 2.0e-10"
"Stx1a",161.05,48.58,1.74," 8.7e-32"
"Smpdl3b",5.12,1.53,1.74," 2.6e-06"
"Hs3st4",172.73,51.83,1.74," 6.7e-59"
"Ets2",368.47,110.8,1.73," 3.0e-66"
"Gm43333",1.25,0.35,1.73," 2.2e-02"
"Chrm1",40.17,12.15,1.72," 9.8e-31"
"Acaa1b",1.06,0.33,1.71," 3.5e-02"
"Bpifb1",1.4,0.43,1.71," 1.4e-02"
"Dpt",1.1,0.35,1.71," 3.8e-02"
"AI467606",10.4,3.15,1.71," 1.9e-11"
"Mst1r",5.57,1.69,1.7," 4.5e-07"
"Tppp3",316.7,98.18,1.7," 1.9e-29"
"Hk2",22.03,6.76,1.7," 1.4e-19"
"Fxyd7",80.66,25.07,1.69," 1.1e-40"
"Smco4",12.55,3.93,1.68," 4.5e-12"
"Amigo2",143.47,44.5,1.68," 1.8e-47"
"Egr4",7.36,2.37,1.68," 1.9e-07"
"Hsd17b2",1.1,0.35,1.67," 3.4e-02"
"Tgm3",2.73,0.88,1.66," 8.5e-04"
"Hes6",49.46,15.85,1.65," 1.7e-26"
"Mhrt",2.35,0.76,1.65," 1.5e-03"
"Gm10605",11.58,3.66,1.65," 1.6e-10"
"Efnb1",23.99,7.64,1.64," 8.5e-21"
"Arhgap6",147.15,47.12,1.64," 5.2e-50"
"Vgll2",2.43,0.76,1.64," 2.0e-03"
"Plxdc1",52.17,16.71,1.64," 2.0e-33"
"Tmem132a",97.31,30.86,1.64," 7.8e-29"
"Gda",735.41,236.97,1.63," 5.8e-64"
"Krt77",35.82,11.64,1.63," 1.1e-25"
"Sema4f",133.28,42.95,1.62," 1.5e-39"
"Chia1",3.97,1.29,1.62," 5.3e-05"
"Nab2",20.91,6.86,1.62," 1.5e-14"
"A830011K09Rik",3.91,1.29,1.61," 5.1e-05"
"Gm10941",1,0.32,1.61," 4.9e-02"
"Hcrtr1",14.3,4.69,1.61," 1.3e-13"
"Nptx1",374.37,122.15,1.61," 2.7e-57"
