"Gene","Bead","Sup","Enrichment","P"
"Gm10134",5.33,2.11,1.34," 1.8e-05"
"Gm16150",2.45,0.96,1.33," 9.2e-03"
"Bahcc1",61.52,23.37,1.32," 1.9e-04"
"Vgf",224.68,90.2,1.31," 1.1e-52"
"AU022754",1.59,0.59,1.31," 4.1e-02"
"Lipg",2.3,0.91,1.3," 8.4e-03"
"Egflam",7.14,2.82,1.29," 6.6e-06"
"Cpne7",102.37,40.53,1.29," 2.3e-25"
"6430628N08Rik",6.59,2.71,1.28," 3.7e-06"
"Stbd1",4.5,1.87,1.26," 2.0e-04"
"Pirt",2.8,1.18,1.25," 3.9e-03"
"Rprml",28.77,12.12,1.25," 4.1e-16"
"Rin1",19.48,8.25,1.24," 9.0e-14"
"Arhgap6",201.55,85.06,1.23," 8.3e-40"
"Atp6v1c2",16.55,7.05,1.22," 3.5e-11"
"Prr19",3.38,1.45,1.22," 1.9e-03"
"Nr0b1",12.08,5.14,1.22," 9.1e-09"
"Lpl",4.48,1.9,1.21," 5.4e-04"
"Slc10a4l",2.76,1.2,1.21," 5.6e-03"
"Nnmt",3.68,1.62,1.2," 1.5e-03"
"2010204K13Rik",171.71,74.93,1.2," 5.8e-44"
"Gpc3",17.79,7.66,1.2," 3.4e-11"
"Dmrtc1a",43.94,19.2,1.2," 8.7e-23"
"Nptx2",60.32,25.78,1.2," 3.0e-21"
"AI467606",9.71,4.25,1.19," 1.8e-07"
"Tnfrsf8",26.04,11.31,1.19," 4.3e-15"
"Pnp2",2.9,1.26,1.18," 6.2e-03"
"Scube2",2.33,1.03,1.17," 1.5e-02"
"Acvr1c",15.29,6.82,1.16," 2.6e-10"
"H2-Q2",65.54,29.4,1.16," 1.5e-27"
"Irf9",28.05,12.55,1.16," 5.7e-16"
"Msln",5.2,2.31,1.16," 3.1e-04"
"Psmb8",2.13,0.96,1.15," 2.3e-02"
"Tm4sf5",6.98,3.16,1.15," 2.8e-05"
"Gpx3",472.08,214.25,1.15," 1.1e-44"
"Npy1r",18.79,8.52,1.14," 1.6e-11"
"Cmbl",75.32,34.23,1.14," 1.7e-26"
"Npy2r",30.11,13.65,1.14," 2.3e-16"
"Lbhd2",97.19,43.64,1.14," 1.0e-28"
"Rbp3",2.29,1.06,1.14," 2.1e-02"
"Cxxc1",83.24,37.99,1.13," 2.3e-28"
"Ecel1",84.38,38.27,1.13," 2.1e-26"
"Etnk2",64.56,29.54,1.13," 3.4e-26"
"Rxfp3",12.7,5.9,1.12," 3.5e-06"
"Vwa5a",39.19,18.06,1.12," 1.3e-16"
"Meox1",4.6,2.14,1.12," 1.2e-03"
"Junb",34.87,16.06,1.11," 5.6e-16"
"Nek2",1.93,0.89,1.11," 3.7e-02"
"Usp51",18.05,8.35,1.11," 6.7e-11"
"Esyt3",37.73,17.48,1.11," 8.5e-18"
"Ass1",83.55,38.51,1.11," 3.2e-26"
"Prok2",3.37,1.57,1.11," 5.2e-03"
"Gm19719",2.48,1.16,1.11," 1.7e-02"
"Gm45441",2.67,1.24,1.1," 1.3e-02"
"H2-Bl",8.73,4.1,1.1," 4.7e-06"
"Rbp4",4.47,2.09,1.1," 1.6e-03"
"Cysrt1",23.97,11.26,1.09," 1.2e-12"
"Pcdhga9",1.92,0.9,1.09," 4.1e-02"
"Pdzd3",5.28,2.48,1.09," 4.2e-04"
"Sgcz",7.71,3.62,1.09," 1.9e-05"
"Klc3",3.9,1.85,1.08," 3.6e-03"
"Bcl3",2.78,1.24,1.08," 1.9e-02"
"Dgkk",287.09,134.85,1.08," 3.1e-30"
"Ccdc88b",9.64,4.56,1.08," 2.3e-06"
"Gck",88.17,41.83,1.08," 4.9e-26"
"Wipf3",72.73,34.52,1.08," 5.4e-25"
"Sox3",19.21,9.13,1.07," 1.5e-10"
"Atp1a1",220.19,104.92,1.07," 3.5e-32"
"Gal",44.24,20.69,1.07," 1.2e-16"
"Foxd2os",3.37,1.6,1.07," 6.8e-03"
"Adcyap1",197.72,94.27,1.07," 5.9e-38"
"Cited4",11.2,5.37,1.07," 6.1e-07"
"5330411J11Rik",2.31,1.14,1.07," 2.9e-02"
"Plagl1",291.5,139.62,1.06," 1.8e-38"
"Pak6",140.02,67.14,1.06," 8.7e-33"
"Hmx3",19.72,9.5,1.06," 1.4e-10"
"Tnrc18",141.62,66.24,1.05," 1.8e-20"
"Trpc6",4.33,1.97,1.05," 4.4e-03"
"Fgl2",3.6,1.73,1.05," 6.4e-03"
"Lck",13.97,6.59,1.05," 7.7e-07"
"Nkx2-4",34.81,16.83,1.04," 4.4e-15"
"Ajap1",58.83,28.51,1.04," 1.8e-20"
"Hes6",80.52,39.15,1.04," 6.2e-24"
"Ccdc137",80.26,38.96,1.04," 2.9e-25"
"Grhl1",54.19,26.5,1.03," 3.1e-20"
"Vill",6.74,3.27,1.03," 1.6e-04"
"Plcz1",5.21,2.58,1.02," 1.4e-03"
"4921525O09Rik",4.42,2.15,1.02," 4.7e-03"
"Cebpb",7.37,3.63,1.01," 1.2e-04"
"Acta1",18.54,9.26,1," 2.3e-09"
"Crem",45.19,22.56,1," 3.5e-17"
"Nr5a2",10.67,5.27,0.99," 1.5e-05"
"2310068J16Rik",2.96,1.5,0.99," 1.9e-02"
"Radx",6.57,3.3,0.99," 3.1e-04"
"Spint2",74.26,37.76,0.98," 3.2e-20"
"Sstr5",3.08,1.56,0.98," 1.7e-02"
